特征,重要性
购买意向,0.4918794192426731
基线得分,0.40982714791166236
关注作者,0.03853824824342175
价格,0.009162041268404909
累计消费额,0.0075475983833222975
年龄,0.005259295030692825
用户等级,0.0046810992342171814
折扣率,0.00398027891498915
用券,0.0036894355644719722
点赞数,0.0027538495811008585
社交影响力,0.002745285694699206
群体编号,0.002593738403164876
评论数,0.002092552614254903
浏览量,0.0020138544777961575
粉丝数,0.0012319555087880291
购买频次,0.0011650987557460157
关注数,0.0011551704147175167
标题长度,0.0010656021243449075
领券,0.0009898969446230721
收藏数,0.0008741845348604259
互动率,0.0007885994158069427
活跃天数,0.0007510469114565336
新鲜度,0.0007509008195091546
图片数,0.0007412905956442865
分享数,0.0006933317506137747
类别-其他,0.0006779088581874576
加购,0.0006016385610566132
标题情绪分,0.0005085268093738414
含视频,0.00033153199545014634
类别-服饰,0.00031063528419598827
上次点击间隔,0.00020632952233490815
类别-鞋靴,0.00012279174285313954
性别,9.891211078122633e-05
类别-家居杂货,9.004539662977648e-05
类别-珠宝配饰,5.017221845553127e-05
类别-腕表,2.7515395394086098e-05
类别-美妆个护,2.0534110407885643e-06
类别-运动户外,1.016353264426089e-06
类别-母婴用品,0.0
